pwm_time,peak
0.001,1.06679030006921
0.0011,1.06747699220069
0.0012,1.06768631137376
0.0013,1.06904061878403
0.0014,1.06909113263814
0.0015,1.0693990737184
0.0016,1.07078308708858
0.0017,1.07068858518329
0.0018,1.07221462086467
0.0019,1.07179768131082
0.002,1.07151755877866
0.0021,1.07222596680335
0.0022,1.07227985509942
0.0023,1.07256937088755
0.0024,1.0728566103324
0.0025,1.0737878875345
0.0026,1.07427220038995
0.0027,1.07434079297424
0.0028,1.0741433252791
0.0029,1.07448366917448
0.003,1.07524269385787
0.0031,1.07523723449297
0.0032,1.07493207260085
0.0033,1.07576086815861
0.0034,1.0762570863432
0.0035,1.07673837967646
0.0036,1.07675375695318
0.0037,1.07700035932508
0.0038,1.0774881415859
0.0039,1.07782301258753
0.004,1.07811220332312
0.0041,1.07851112822361
0.0042,1.07855482451028
0.0043,1.07865790532283
0.0044,1.0793095874387
0.0045,1.07961987067522
0.0046,1.07926480644579
0.0047,1.07941159950322
0.0048,1.07969817747075
0.0049,1.07966344581752
0.005,1.0805825009462
0.0051,1.0812606400971
0.0052,1.08127074765784
0.0053,1.08146237201289
0.0054,1.0815187889503
0.0055,1.0813902248904
0.0056,1.08185649761646
0.0057,1.08229911302795
0.0058,1.08218774103146
0.0059,1.08273293251485
0.006,1.0837930558074
0.0061,1.08275692921783
0.0062,1.08371790814483
0.0063,1.08452725914181
0.0064,1.08330035915536
0.0065,1.08406158643245
0.0066,1.08433059288363
0.0067,1.08458914284439
0.0068,1.08463840715914
0.0069,1.08469643133141
0.007,1.08525664925048
0.0071,1.0862577533329
0.0072,1.08511522578066
0.0073,1.08648559880282
0.0074,1.08576071788201
0.0075,1.08703237263425
0.0076,1.08639937086469
0.0077,1.08696781716891
0.0078,1.08761912179408
0.0079,1.08733332503272
0.008,1.08814270747271
0.0081,1.0883529742736
0.0082,1.08785726775959
0.0083,1.08899777266381
0.0084,1.08879212235806
0.0085,1.08847553383012
0.0086,1.08922855313296
0.0087,1.08931196531779
0.0088,1.08915005121428
0.0089,1.09013594859365
0.009,1.09114107832401
0.0091,1.09031049963982
0.0092,1.09003336429195
0.0093,1.09183209998032
0.0094,1.09162599412048
0.0095,1.09018688478438
0.0096,1.09160432868004
0.0097,1.09296952822882
0.0098,1.09189919418171
0.0099,1.09174577596442
0.01,1.09217218577904
0.0101,1.09314952271546
0.0102,1.0934425460275
0.0103,1.0933806969441
0.0104,1.09311761430334
0.0105,1.0940601478753
0.0106,1.09532926341031
0.0107,1.09515887123852
0.0108,1.09423656859122
0.0109,1.09442062245219
0.011,1.0944575929355
0.0111,1.0967886168066
0.0112,1.0961878541518
0.0113,1.09543302463913
0.0114,1.09497550563619
0.0115,1.09523200474236
0.0116,1.09772231284168
0.0117,1.09917799977275
0.0118,1.09713692852464
0.0119,1.09658307399311
0.012,1.09648871630789
0.0121,1.09718220702978
0.0122,1.09925033351405
0.0123,1.10090523019204
0.0124,1.09943838328782
0.0125,1.09782824774211
0.0126,1.09727827953463
0.0127,1.09859937195264
0.0128,1.10021382343343
0.0129,1.10193305155208
0.013,1.10244849030003
0.0131,1.10030287763804
0.0132,1.09890428046313
0.0133,1.09976713953077
0.0134,1.10060786584546
0.0135,1.10164388798434
0.0136,1.10245297028395
0.0137,1.1039128478062
0.0138,1.10340975509905
0.0139,1.10129969124503
0.014,1.10190900477989
0.0141,1.10165955180046
0.0142,1.10262537436525
0.0143,1.10322930643636
0.0144,1.10403741529002
0.0145,1.10505581383256
0.0146,1.10569358121168
0.0147,1.1051500145155
0.0148,1.10515641838613
0.0149,1.1042872137273
0.015,1.1046424283022
0.0151,1.1046254995122
0.0152,1.10491014917932
0.0153,1.10530283471565
0.0154,1.10590817509026
0.0155,1.10790604048016
0.0156,1.10965275229973
0.0157,1.10904938056064
0.0158,1.10860288997599
0.0159,1.1072892283702
0.016,1.10719540322092
0.0161,1.10673526101522
0.0162,1.10647742215691
0.0163,1.10642813062288
0.0164,1.10659311355236
0.0165,1.10891215942091
0.0166,1.11243360001959
0.0167,1.11477203876386
0.0168,1.11365648800311
0.0169,1.11221743784903
0.017,1.11086963556784
0.0171,1.10980595948905
0.0172,1.10884519076826
0.0173,1.1086156279025
0.0174,1.10805446702817
0.0175,1.10770726753122
0.0176,1.10991828147237
0.0177,1.11293666603263
0.0178,1.11595507804854
0.0179,1.11847044181265
0.018,1.11972900425867
0.0181,1.11767097674434
0.0182,1.11570432291586
0.0183,1.11401264197514
0.0184,1.11242418804493
0.0185,1.11156816885993
0.0186,1.11037136362699
0.0187,1.10938488329635
0.0188,1.10991828147237
0.0189,1.11243360001959
0.019,1.11494893768917
0.0191,1.11696122140624
0.0192,1.11947659281182
0.0193,1.12199198253584
0.0194,1.12400430723573
0.0195,1.12419791356066
0.0196,1.12169874075714
0.0197,1.11985855190138
0.0198,1.11771910220147
0.0199,1.11569133911228
0.02,1.11394967563138
0.0201,1.11233085201758
0.0202,1.11133829766626
0.0203,1.11343973280893
0.0204,1.11545200749295
0.0205,1.11746429420376
0.0206,1.11947659281182
0.0207,1.12148890313036
0.0208,1.12299814351678
0.0209,1.12501047412767
0.021,1.12651972954318
0.0211,1.1285320799673
0.0212,1.13004135061461
0.0213,1.1286462405284
0.0214,1.12577007005653
0.0215,1.12308066346264
0.0216,1.1205123485819
0.0217,1.11821744943516
0.0218,1.11605513957937
0.0219,1.11545200749295
0.022,1.11696122140624
0.0221,1.11847044181265
0.0222,1.11997966930263
0.0223,1.12148890313036
0.0224,1.12299814351678
0.0225,1.12450739024976
